ID,Question_Tag,Question,Answer,anonymized_Answer
14.0,Q33,33. Would you like to give your institution any other feedback on studying under special circumstances?,The university psychologist was very helpful in getting me official special circumstance status.,The university psychologist was very helpful in getting me official special circumstance status.
14.0,Q37,37. Would you like to give your institution any other feedback on the skills you learn in your course programme?,I wish we had more opportunities to practice public speaking in a low-stakes environment.,I wish we had more opportunities to practice public speaking in a low-stakes environment.
14.0,Q39,39. Would you like to give your institution any other feedback on the course programme schedules?,Evening classes are really difficult for commuting students who rely on trains.,Evening classes are really difficult for commuting students who rely on trains.
14.0,Q7,7. Would you like to give your institution any other feedback on the content and organisation of your course programme?,"The balance between theoretical lectures and practical lab work is currently 80/20, which is too lopsided for this major.","The balance between theoretical lectures and practical lab work is currently 80/20, which is too lopsided for this major."
14.0,Q9,9. Would you like to give your institution any other feedback on the link with professional practice / professional careers?,It is difficult to find a relevant internship because the school's 'approved list' is five years out of date.,It is difficult to find a relevant internship because the school's 'approved list' is five years out of date.
15.0,Q12,12. Would you like to give your institution any other feedback on the teachers on your course programme?,The feedback provided on our group project was far too generic to be useful.,The feedback provided on our group project was far too generic to be useful.
15.0,Q14,14. Would you like to give your institution any other feedback on support/mentoring?,I wish the study advisors had more knowledge about specific career paths in my niche field.,I wish the study advisors had more knowledge about specific career paths in my niche field.
15.0,Q16,16. Would you like to give your institution any other feedback on examination and assessment?,There is too much emphasis on memorization and not enough on critical thinking.,There is too much emphasis on memorization and not enough on critical thinking.
15.0,Q18,18. Would you like to give your institution any other feedback on engagement and contact?,I appreciate the open-door policy most of the teachers in my department have for quick check-ins.,I appreciate the open-door policy most of the [TITLE] in my department have for quick check-ins.
15.0,Q33,33. Would you like to give your institution any other feedback on studying under special circumstances?,"Extensions are granted, but the workload just piles up and becomes impossible to finish later.","Extensions are granted, but the workload just piles up and becomes impossible to finish later."
15.0,Q37,37. Would you like to give your institution any other feedback on the skills you learn in your course programme?,The statistical analysis software we use (SPSS) is not what modern companies use (Python/R).,The statistical analysis software we use (SPSS) is not what modern companies use (Python/R).
15.0,Q39,39. Would you like to give your institution any other feedback on the course programme schedules?,"The timetable gives us plenty of time for independent study, which I really value.","The timetable gives us plenty of time for independent study, which I really value."
15.0,Q7,7. Would you like to give your institution any other feedback on the content and organisation of your course programme?,The sudden change in the exam format halfway through the block was very poorly communicated.,The sudden change in the exam format halfway through the block was very poorly communicated.
15.0,Q9,9. Would you like to give your institution any other feedback on the link with professional practice / professional careers?,The course lacks focus on the ethical dilemmas we will actually face once we start working.,The course lacks focus on the ethical dilemmas we will actually face once we start working.
16.0,Q12,12. Would you like to give your institution any other feedback on the teachers on your course programme?,Teachers should be more aware of the extreme workload during midterm week.,Teachers should be more aware of the extreme workload during midterm week.
16.0,Q14,14. Would you like to give your institution any other feedback on support/mentoring?,The workshops on time management offered by the support center were a game changer for me.,The workshops on time management offered by the support center were a game changer for me.
16.0,Q16,16. Would you like to give your institution any other feedback on examination and assessment?,The second opportunity (resit) exams are scheduled way too close to the start of the new block.,The second opportunity (resit) exams are scheduled way too close to the start of the new block.
16.0,Q18,18. Would you like to give your institution any other feedback on engagement and contact?,We need more interactive Q&A sessions during lectures instead of just listening for two hours straight.,We need more interactive Q&A sessions during lectures instead of just listening for two hours straight.
16.0,Q33,33. Would you like to give your institution any other feedback on studying under special circumstances?,I wish there was a support group specifically for older/mature students returning to study.,I wish there was a support group specifically for older/mature students returning to study.
16.0,Q37,37. Would you like to give your institution any other feedback on the skills you learn in your course programme?,Learning how to do a proper literature review was tedious but incredibly useful.,Learning how to do a proper literature review was tedious but incredibly useful.
16.0,Q39,39. Would you like to give your institution any other feedback on the course programme schedules?,Scheduling two heavy exams on the exact same day shows poor planning by the administration.,Scheduling two heavy exams on the exact same day shows poor planning by the administration.
16.0,Q7,7. Would you like to give your institution any other feedback on the content and organisation of your course programme?,Our programme lacks a clear connection between the different subjects; they feel like 10 isolated silos.,Our programme lacks a clear connection between the different subjects; they feel like 10 isolated silos.
16.0,Q9,9. Would you like to give your institution any other feedback on the link with professional practice / professional careers?,I'd like to see a mentorship program where we are paired with alumni currently working in our dream roles.,I'd like to see a mentorship program where we are paired with alumni currently working in our dream roles.
17.0,Q12,12. Would you like to give your institution any other feedback on the teachers on your course programme?,I love how approachable and friendly the entire psychology department staff is.,I love how approachable and friendly the entire psychology department staff is.
17.0,Q14,14. Would you like to give your institution any other feedback on support/mentoring?,My thesis supervisor is basically my mentor and she is fantastic at guiding my research.,My thesis supervisor is basically my mentor and she is fantastic at guiding my research.
17.0,Q16,16. Would you like to give your institution any other feedback on examination and assessment?,The grading is incredibly harsh compared to similar courses at other institutions.,The grading is incredibly harsh compared to similar courses at other institutions.
17.0,Q18,18. Would you like to give your institution any other feedback on engagement and contact?,The communication regarding illness policies has been incredibly contradictory and confusing.,The communication regarding illness policies has been incredibly contradictory and confusing.
17.0,Q33,33. Would you like to give your institution any other feedback on studying under special circumstances?,"The elevators are constantly broken, stranding students with mobility issues.","The elevators are constantly broken, stranding students with mobility issues."
17.0,Q37,37. Would you like to give your institution any other feedback on the skills you learn in your course programme?,There is no guidance on how to use AI tools ethically and effectively in our field.,There is no guidance on how to use AI tools ethically and effectively in our field.
17.0,Q39,39. Would you like to give your institution any other feedback on the course programme schedules?,"The introduction of 'hybrid' scheduling (some days online, some on campus) is working very well.","The introduction of 'hybrid' scheduling (some days online, some on campus) is working very well."
17.0,Q7,7. Would you like to give your institution any other feedback on the content and organisation of your course programme?,"The 'International Relations' module should be a core requirement, not just an optional elective.","The '[COURSE/DEPT]' module should be a core requirement, not just an optional elective."
17.0,Q9,9. Would you like to give your institution any other feedback on the link with professional practice / professional careers?,The 'Career Day' was overwhelmed by recruitment agencies rather than actual hiring managers.,The 'Career Day' was overwhelmed by recruitment agencies rather than actual hiring managers.
18.0,Q12,12. Would you like to give your institution any other feedback on the teachers on your course programme?,The English teacher has a very thick accent that makes it difficult to follow.,The English teacher has a very thick accent that makes it difficult to follow.
18.0,Q14,14. Would you like to give your institution any other feedback on support/mentoring?,"When I reported an issue with a group member,"" the conflict resolution team handled it perfectly.","When I reported an issue with a group member,"" the conflict resolution team handled it perfectly."
18.0,Q16,16. Would you like to give your institution any other feedback on examination and assessment?,I was very happy with the quick turnaround time for our thesis grading.,I was very happy with the quick turnaround time for our thesis grading.
18.0,Q18,18. Would you like to give your institution any other feedback on engagement and contact?,I feel like just a number to the university; there is zero personal connection or follow-up.,I feel like just a number to the university; there is zero personal connection or follow-up.
18.0,Q33,33. Would you like to give your institution any other feedback on studying under special circumstances?,My study advisor was totally unequipped to help me navigate the system as a refugee student.,My study advisor was totally unequipped to help me navigate the system as a refugee student.
18.0,Q37,37. Would you like to give your institution any other feedback on the skills you learn in your course programme?,The 'problem-solving' skills they claim to teach just consist of solving textbook math equations.,The 'problem-solving' skills they claim to teach just consist of solving textbook math equations.
18.0,Q39,39. Would you like to give your institution any other feedback on the course programme schedules?,"There is no synchronization between different departments"", making electives impossible to attend.","There is no synchronization between different departments"", making electives impossible to attend."
18.0,Q7,7. Would you like to give your institution any other feedback on the content and organisation of your course programme?,I found the weekly seminars much more valuable than the big lectures for understanding the core content.,I found the weekly seminars much more valuable than the big lectures for understanding the core content.
18.0,Q9,9. Would you like to give your institution any other feedback on the link with professional practice / professional careers?,We need more training on project management methodologies like Scrum or Agile that are standard in the field.,We need more training on project management methodologies like Scrum or Agile that are standard in the field.
19.0,Q12,12. Would you like to give your institution any other feedback on the teachers on your course programme?,Shouting in the classroom by the course coordinator was very unprofessional.,Shouting in the classroom by the course coordinator was very unprofessional.
19.0,Q14,14. Would you like to give your institution any other feedback on support/mentoring?,"Support staff are always friendly, but their systems are so outdated that things get lost.","Support staff are always friendly, but their systems are so outdated that things get lost."
19.0,Q16,16. Would you like to give your institution any other feedback on examination and assessment?,"The exam hall was freezing and incredibly noisy, making it very hard to concentrate.","The exam hall was freezing and incredibly noisy, making it very hard to concentrate."
19.0,Q18,18. Would you like to give your institution any other feedback on engagement and contact?,The alumni network is very active and easy to get in touch with for career advice.,The alumni network is very active and easy to get in touch with for career advice.
19.0,Q33,33. Would you like to give your institution any other feedback on studying under special circumstances?,The flexible attendance policy for students with chronic pain is much appreciated.,The flexible attendance policy for students with [PII] is much appreciated.
19.0,Q37,37. Would you like to give your institution any other feedback on the skills you learn in your course programme?,I appreciate the focus on sustainability and ethical decision-making skills.,I appreciate the focus on sustainability and ethical decision-making skills.
19.0,Q39,39. Would you like to give your institution any other feedback on the course programme schedules?,"The academic calendar is clear, and the holiday breaks are well-placed to prevent burnout.","The academic calendar is clear, and the holiday breaks are well-placed to prevent burnout."
19.0,Q7,7. Would you like to give your institution any other feedback on the content and organisation of your course programme?,The curriculum doesn't leave enough room for students to pursue their own specific research interests.,The curriculum doesn't leave enough room for students to pursue their own specific research interests.
19.0,Q9,9. Would you like to give your institution any other feedback on the link with professional practice / professional careers?,The school should encourage more collaborative projects with external companies during the semester.,The school should encourage more collaborative projects with external companies during the semester.
20.0,Q12,12. Would you like to give your institution any other feedback on the teachers on your course programme?,It is great that the teachers incorporate recent news into the daily curriculum.,It is great that the teachers incorporate recent news into the daily curriculum.
20.0,Q14,14. Would you like to give your institution any other feedback on support/mentoring?,We need more dedicated counselors for neurodivergent students.,We need more dedicated counselors for [[PII]] students.
20.0,Q16,16. Would you like to give your institution any other feedback on examination and assessment?,Having a take-home exam over the weekend ruined my ability to rest between blocks.,Having a take-home exam over the weekend ruined my ability to rest between blocks.
20.0,Q18,18. Would you like to give your institution any other feedback on engagement and contact?,The forums on the online learning portal are dead because professors never check or reply to them.,The forums on the online learning portal are dead because professors never check or reply to them.
20.0,Q33,33. Would you like to give your institution any other feedback on studying under special circumstances?,I had to explain my medical condition to 5 different people before getting any help.,I had to explain my medical condition to 5 different people before getting any help.
20.0,Q37,37. Would you like to give your institution any other feedback on the skills you learn in your course programme?,"We need basic financial literacy and budgeting skills taught, even if it's not a business degree.","We need basic financial literacy and budgeting skills taught, even if it's not a business degree."
20.0,Q39,39. Would you like to give your institution any other feedback on the course programme schedules?,Having to commute 1.5 hours for a single 45-minute tutorial is incredibly frustrating.,Having to commute 1.5 hours for a single 45-minute tutorial is incredibly frustrating.
20.0,Q7,7. Would you like to give your institution any other feedback on the content and organisation of your course programme?,"There is a lack of 'soft skills' training, like presenting or conflict management, within the core modules.","There is a lack of 'soft skills' training, like presenting or conflict management, within the core modules."
20.0,Q9,9. Would you like to give your institution any other feedback on the link with professional practice / professional careers?,I feel there is a lack of guidance on how to translate my academic achievements into professional competencies.,I feel there is a lack of guidance on how to translate my academic achievements into professional competencies.
21.0,Q12,12. Would you like to give your institution any other feedback on the teachers on your course programme?,De tenure track hoogleraren lijken te druk met onderzoek om studenten te helpen.,De tenure track hoogleraren lijken te druk met onderzoek om studenten te helpen.
21.0,Q14,14. Would you like to give your institution any other feedback on support/mentoring?,De inloopuren van het schrijfcentrum botsen met mijn verplichte colleges.,De inloopuren van het schrijfcentrum botsen met mijn verplichte colleges.
21.0,Q16,16. Would you like to give your institution any other feedback on examination and assessment?,"Groepscijfers mogen individuele studenten die duidelijk al het werk hebben gedaan,"" niet naar beneden halen.","Groepscijfers mogen individuele studenten die duidelijk al het werk hebben gedaan,"" niet naar beneden halen."
21.0,Q18,18. Would you like to give your institution any other feedback on engagement and contact?,De introductieweek was een geweldige gelegenheid om de eerste contacten te leggen met collega's en faculteitsmedewerkers.,De introductieweek was een geweldige gelegenheid om de eerste contacten te leggen met collega's en faculteitsmedewerkers.
21.0,Q33,33. Would you like to give your institution any other feedback on studying under special circumstances?,De ondertitels van de videocolleges worden vaak automatisch gegenereerd en zijn volledig onnauwkeurig.,De ondertitels van de videocolleges worden vaak automatisch gegenereerd en zijn volledig onnauwkeurig.
21.0,Q37,37. Would you like to give your institution any other feedback on the skills you learn in your course programme?,De debatopdrachten hebben mijn vermogen om een argument te vormen en te verdedigen echt aangescherpt.,De debatopdrachten hebben mijn vermogen om een argument te vormen en te verdedigen echt aangescherpt.
